VIN,Time,DCLname,vType,startLaneId,destRoad
1024,11.2000,NorthBound0Entrance,COUPE,0,1st Avenue N
1536,202.9600,NorthBound0Entrance,SEDAN,1,1st Avenue N
2049,413.7200,NorthBound0Entrance,SUV,1,1st Street E
1538,203.5800,NorthBound0Entrance,COUPE,0,1st Avenue N
1539,203.8800,NorthBound0Entrance,COUPE,2,1st Street W
1029,14.5800,NorthBound0Entrance,SUV,2,1st Street W
1542,205.4200,NorthBound0Entrance,SUV,1,1st Street W
1031,15.2400,NorthBound0Entrance,VAN,0,1st Street E
2055,416.0200,NorthBound0Entrance,VAN,2,1st Street E
1546,208.7200,NorthBound0Entrance,COUPE,1,1st Street W
1547,209.0200,NorthBound0Entrance,SEDAN,0,1st Avenue N
2059,417.0600,NorthBound0Entrance,VAN,0,1st Street W
2060,417.2200,NorthBound0Entrance,COUPE,1,1st Street W
1550,210.9800,NorthBound0Entrance,COUPE,1,1st Street W
2062,418.1200,NorthBound0Entrance,COUPE,2,1st Street W
1039,18.7600,NorthBound0Entrance,SUV,0,1st Avenue N
1553,211.5600,NorthBound0Entrance,VAN,0,1st Avenue N
1044,23.0800,NorthBound0Entrance,COUPE,0,1st Street E
2068,420.1000,NorthBound0Entrance,SUV,1,1st Street W
2069,420.4400,NorthBound0Entrance,SEDAN,2,1st Avenue N
1047,23.8800,NorthBound0Entrance,VAN,2,1st Street W
2071,421.0400,NorthBound0Entrance,SUV,0,1st Street W
1560,214.0000,NorthBound0Entrance,SEDAN,2,1st Avenue N
1049,24.2000,NorthBound0Entrance,VAN,1,1st Street W
2076,422.7200,NorthBound0Entrance,VAN,1,1st Avenue N
1053,25.4800,NorthBound0Entrance,VAN,2,1st Street E
1565,215.7800,NorthBound0Entrance,VAN,2,1st Street W
2078,423.0200,NorthBound0Entrance,COUPE,2,1st Avenue N
1567,216.4600,NorthBound0Entrance,SUV,0,1st Street E
2080,423.7000,NorthBound0Entrance,VAN,0,1st Street E
1057,26.0200,NorthBound0Entrance,VAN,0,1st Street W
1570,217.3000,NorthBound0Entrance,COUPE,1,1st Street E
1059,26.2400,NorthBound0Entrance,COUPE,1,1st Avenue N
2085,425.1800,NorthBound0Entrance,VAN,1,1st Street W
1574,217.7200,NorthBound0Entrance,SUV,2,1st Street E
2086,425.3400,NorthBound0Entrance,SUV,0,1st Avenue N
1576,218.8200,NorthBound0Entrance,SEDAN,1,1st Street W
1068,30.5200,NorthBound0Entrance,VAN,1,1st Street W
2092,427.4000,NorthBound0Entrance,SEDAN,1,1st Street E
1069,30.5600,NorthBound0Entrance,COUPE,2,1st Avenue N
1582,221.6000,NorthBound0Entrance,SUV,2,1st Street W
2094,427.8600,NorthBound0Entrance,VAN,0,1st Street W
2095,429.2000,NorthBound0Entrance,SUV,1,1st Street E
1073,31.7000,NorthBound0Entrance,SEDAN,0,1st Street E
1587,223.3200,NorthBound0Entrance,COUPE,1,1st Street W
2101,430.8400,NorthBound0Entrance,VAN,1,1st Street E
1078,33.4800,NorthBound0Entrance,SEDAN,2,1st Street E
1590,224.2800,NorthBound0Entrance,VAN,0,1st Avenue N
1083,35.4600,NorthBound0Entrance,SEDAN,0,1st Street W
2107,433.9200,NorthBound0Entrance,SEDAN,2,1st Avenue N
2110,435.1000,NorthBound0Entrance,VAN,0,1st Street E
1602,228.7000,NorthBound0Entrance,SUV,0,1st Street E
1091,37.9600,NorthBound0Entrance,COUPE,0,1st Avenue N
1603,228.9800,NorthBound0Entrance,VAN,1,1st Street W
2115,436.6200,NorthBound0Entrance,SUV,1,1st Avenue N
1094,38.7400,NorthBound0Entrance,VAN,1,1st Avenue N
2118,437.5400,NorthBound0Entrance,SUV,0,1st Street E
