VIN,Time,DCLname,vType,startLaneId,destRoad
1152,59.0400,NorthBound0Entrance,VAN,1,1st Street W
1281,116.4200,NorthBound0Entrance,VAN,2,1st Street E
1282,117.1600,NorthBound0Entrance,COUPE,1,1st Avenue N
1029,10.9200,NorthBound0Entrance,SUV,0,1st Street W
1286,118.7400,NorthBound0Entrance,SEDAN,1,1st Street W
1159,61.0800,NorthBound0Entrance,VAN,1,1st Street W
1288,119.0400,NorthBound0Entrance,COUPE,2,1st Avenue N
1033,12.4200,NorthBound0Entrance,COUPE,0,1st Street W
1161,61.5200,NorthBound0Entrance,COUPE,0,1st Avenue N
1036,12.9400,NorthBound0Entrance,SEDAN,2,1st Street W
1293,121.8200,NorthBound0Entrance,SEDAN,0,1st Street E
1166,62.5800,NorthBound0Entrance,COUPE,1,1st Street E
1294,121.9000,NorthBound0Entrance,SUV,1,1st Avenue N
1168,62.9000,NorthBound0Entrance,SEDAN,0,1st Street W
1043,16.0000,NorthBound0Entrance,COUPE,1,1st Avenue N
1044,16.1000,NorthBound0Entrance,SEDAN,2,1st Avenue N
1303,123.9800,NorthBound0Entrance,VAN,0,1st Street W
1178,67.6200,NorthBound0Entrance,SUV,1,1st Street E
1308,127.4000,NorthBound0Entrance,VAN,2,1st Avenue N
1054,18.9000,NorthBound0Entrance,SUV,2,1st Street W
1183,69.4600,NorthBound0Entrance,SEDAN,0,1st Street E
1056,20.6400,NorthBound0Entrance,SUV,0,1st Street E
1187,72.9400,NorthBound0Entrance,SUV,0,1st Street E
1188,73.6600,NorthBound0Entrance,COUPE,2,1st Street W
1189,74.1800,NorthBound0Entrance,SEDAN,1,1st Street W
1317,130.6000,NorthBound0Entrance,COUPE,1,1st Avenue N
1062,23.3000,NorthBound0Entrance,COUPE,2,1st Street W
1191,74.9200,NorthBound0Entrance,SUV,0,1st Street W
1064,23.8600,NorthBound0Entrance,VAN,1,1st Street W
1321,132.1600,NorthBound0Entrance,SEDAN,1,1st Street W
1067,25.7800,NorthBound0Entrance,COUPE,1,1st Street W
1068,26.1200,NorthBound0Entrance,COUPE,0,1st Avenue N
1197,77.0000,NorthBound0Entrance,VAN,1,1st Avenue N
1071,26.8200,NorthBound0Entrance,SEDAN,2,1st Street W
1199,78.8000,NorthBound0Entrance,SEDAN,1,1st Street W
1200,78.8400,NorthBound0Entrance,SEDAN,2,1st Street E
1329,134.6600,NorthBound0Entrance,SEDAN,2,1st Street E
1074,27.9000,NorthBound0Entrance,COUPE,0,1st Avenue N
1202,78.9000,NorthBound0Entrance,SEDAN,0,1st Avenue N
1075,28.3400,NorthBound0Entrance,SUV,2,1st Street E
1077,29.1800,NorthBound0Entrance,COUPE,1,1st Avenue N
1333,136.0000,NorthBound0Entrance,COUPE,1,1st Avenue N
1206,81.7600,NorthBound0Entrance,COUPE,2,1st Avenue N
1336,136.4000,NorthBound0Entrance,VAN,0,1st Avenue N
1212,85.1400,NorthBound0Entrance,SEDAN,1,1st Avenue N
1086,34.7800,NorthBound0Entrance,COUPE,1,1st Avenue N
1343,138.7400,NorthBound0Entrance,VAN,1,1st Street E
1216,86.3800,NorthBound0Entrance,SEDAN,0,1st Street E
1217,87.1400,NorthBound0Entrance,VAN,1,1st Street W
1345,139.8800,NorthBound0Entrance,SEDAN,2,1st Street E
1093,35.5800,NorthBound0Entrance,VAN,0,1st Street W
1095,36.1400,NorthBound0Entrance,SUV,2,1st Avenue N
1353,142.6400,NorthBound0Entrance,SEDAN,0,1st Street E
1100,38.3000,NorthBound0Entrance,SEDAN,0,1st Street W
1356,144.2200,NorthBound0Entrance,SUV,0,1st Avenue N
1231,95.3400,NorthBound0Entrance,VAN,1,1st Street W
1361,146.3400,NorthBound0Entrance,SEDAN,0,1st Street E
1106,39.5400,NorthBound0Entrance,VAN,1,1st Avenue N
1234,96.8200,NorthBound0Entrance,COUPE,2,1st Avenue N
1237,98.0800,NorthBound0Entrance,VAN,0,1st Avenue N
1367,147.0600,NorthBound0Entrance,SEDAN,1,1st Street W
1115,41.9400,NorthBound0Entrance,SEDAN,0,1st Street W
1243,100.2000,NorthBound0Entrance,SEDAN,0,1st Street E
1372,149.9600,NorthBound0Entrance,SEDAN,2,1st Street E
1245,101.6000,NorthBound0Entrance,COUPE,1,1st Avenue N
1373,150.6800,NorthBound0Entrance,SEDAN,1,1st Street W
1247,101.8800,NorthBound0Entrance,COUPE,2,1st Avenue N
1120,45.2200,NorthBound0Entrance,SEDAN,2,1st Avenue N
1249,102.2800,NorthBound0Entrance,SEDAN,0,1st Avenue N
1377,151.7600,NorthBound0Entrance,SUV,0,1st Street E
1122,45.3000,NorthBound0Entrance,SEDAN,0,1st Street E
1251,103.2200,NorthBound0Entrance,SEDAN,2,1st Street E
1380,153.3800,NorthBound0Entrance,COUPE,1,1st Avenue N
1254,104.6600,NorthBound0Entrance,COUPE,2,1st Avenue N
1128,47.8800,NorthBound0Entrance,COUPE,0,1st Avenue N
1001,1.1400,NorthBound0Entrance,SEDAN,0,1st Avenue N
1258,106.2400,NorthBound0Entrance,COUPE,1,1st Street E
1005,2.2000,NorthBound0Entrance,VAN,2,1st Street W
1133,49.8200,NorthBound0Entrance,COUPE,1,1st Avenue N
1006,2.6000,NorthBound0Entrance,SEDAN,0,1st Street E
1263,108.0400,NorthBound0Entrance,VAN,1,1st Avenue N
1264,108.2800,NorthBound0Entrance,SEDAN,2,1st Avenue N
1266,109.6800,NorthBound0Entrance,SEDAN,2,1st Avenue N
1141,52.6800,NorthBound0Entrance,COUPE,1,1st Street E
1142,53.5600,NorthBound0Entrance,SUV,2,1st Street E
1270,111.7400,NorthBound0Entrance,COUPE,2,1st Avenue N
1017,7.0400,NorthBound0Entrance,VAN,0,1st Street E
1145,56.3800,NorthBound0Entrance,VAN,2,1st Avenue N
1019,7.9600,NorthBound0Entrance,VAN,1,1st Street W
1147,57.5200,NorthBound0Entrance,COUPE,1,1st Street E
1275,114.6000,NorthBound0Entrance,SEDAN,0,1st Street E
1148,57.7600,NorthBound0Entrance,COUPE,2,1st Street W
1022,8.5800,NorthBound0Entrance,COUPE,0,1st Street W
1150,58.5800,NorthBound0Entrance,COUPE,0,1st Avenue N
1024,23.0400,NorthBound0Exit,SEDAN,11,1st Avenue N
1282,128.0200,NorthBound0Exit,COUPE,1,1st Avenue N
1288,134.0200,NorthBound0Exit,COUPE,2,1st Avenue N
1161,96.3400,NorthBound0Exit,COUPE,0,1st Avenue N
1034,27.1600,NorthBound0Exit,COUPE,8,1st Avenue N
1290,135.7400,NorthBound0Exit,SUV,6,1st Avenue N
1294,138.1400,NorthBound0Exit,SUV,1,1st Avenue N
1167,90.1400,NorthBound0Exit,COUPE,6,1st Avenue N
1169,87.3600,NorthBound0Exit,VAN,7,1st Avenue N
1170,82.8400,NorthBound0Exit,VAN,11,1st Avenue N
1043,35.5600,NorthBound0Exit,COUPE,1,1st Avenue N
1044,45.1800,NorthBound0Exit,SEDAN,2,1st Avenue N
1172,78.5200,NorthBound0Exit,SUV,10,1st Avenue N
1300,140.9200,NorthBound0Exit,SEDAN,9,1st Avenue N
1045,29.8400,NorthBound0Exit,VAN,11,1st Avenue N
1304,136.5800,NorthBound0Exit,SEDAN,7,1st Avenue N
1177,79.1000,NorthBound0Exit,SEDAN,9,1st Avenue N
1180,95.3000,NorthBound0Exit,SUV,7,1st Avenue N
1308,138.1600,NorthBound0Exit,VAN,2,1st Avenue N
1181,86.0600,NorthBound0Exit,SUV,11,1st Avenue N
1182,97.7600,NorthBound0Exit,SEDAN,7,1st Avenue N
1055,36.0600,NorthBound0Exit,VAN,8,1st Avenue N
1313,148.9200,NorthBound0Exit,VAN,10,1st Avenue N
1058,42.7400,NorthBound0Exit,COUPE,8,1st Avenue N
1314,142.5000,NorthBound0Exit,SUV,7,1st Avenue N
1060,37.2800,NorthBound0Exit,SEDAN,10,1st Avenue N
1317,141.3600,NorthBound0Exit,COUPE,1,1st Avenue N
1323,144.5800,NorthBound0Exit,VAN,8,1st Avenue N
1068,64.8800,NorthBound0Exit,COUPE,0,1st Avenue N
1196,90.2600,NorthBound0Exit,SUV,10,1st Avenue N
1197,98.1800,NorthBound0Exit,VAN,1,1st Avenue N
1073,39.6200,NorthBound0Exit,COUPE,6,1st Avenue N
1074,68.0000,NorthBound0Exit,COUPE,0,1st Avenue N
1202,115.6000,NorthBound0Exit,SEDAN,0,1st Avenue N
1204,101.9000,NorthBound0Exit,COUPE,6,1st Avenue N
1077,49.0200,NorthBound0Exit,COUPE,1,1st Avenue N
1333,146.7600,NorthBound0Exit,COUPE,1,1st Avenue N
1078,44.4600,NorthBound0Exit,VAN,7,1st Avenue N
1206,108.6200,NorthBound0Exit,COUPE,2,1st Avenue N
1079,50.7600,NorthBound0Exit,SUV,6,1st Avenue N
1080,44.6400,NorthBound0Exit,SEDAN,10,1st Avenue N
1336,147.1600,NorthBound0Exit,VAN,0,1st Avenue N
1209,115.3000,NorthBound0Exit,COUPE,11,1st Avenue N
1084,48.8600,NorthBound0Exit,VAN,7,1st Avenue N
1212,109.0600,NorthBound0Exit,SEDAN,1,1st Avenue N
1086,51.7200,NorthBound0Exit,COUPE,1,1st Avenue N
1214,100.8200,NorthBound0Exit,SUV,7,1st Avenue N
1087,47.9600,NorthBound0Exit,SEDAN,11,1st Avenue N
