VIN,Time,DCLname,vType,startLaneId,destRoad
1028,10.3800,NorthBound0Entrance,SEDAN,1,1st Street W
1092,36.1200,NorthBound0Entrance,SEDAN,0,1st Street E
1029,10.9200,NorthBound0Entrance,COUPE,2,1st Street E
1032,12.2800,NorthBound0Entrance,SUV,1,1st Avenue N
1096,37.4600,NorthBound0Entrance,SUV,0,1st Street W
1035,13.2000,NorthBound0Entrance,SUV,2,1st Street W
1041,15.0000,NorthBound0Entrance,VAN,1,1st Street W
1106,41.9000,NorthBound0Entrance,SEDAN,1,1st Street W
1043,15.1800,NorthBound0Entrance,SUV,2,1st Avenue N
1109,43.2400,NorthBound0Entrance,VAN,2,1st Avenue N
1047,16.3600,NorthBound0Entrance,VAN,0,1st Street W
1114,45.2000,NorthBound0Entrance,SUV,1,1st Street W
1115,45.2200,NorthBound0Entrance,COUPE,0,1st Street E
1052,19.9400,NorthBound0Entrance,SEDAN,2,1st Avenue N
1119,45.9200,NorthBound0Entrance,COUPE,2,1st Avenue N
1057,22.5000,NorthBound0Entrance,SEDAN,1,1st Avenue N
1122,46.8600,NorthBound0Entrance,SEDAN,0,1st Avenue N
1060,23.9600,NorthBound0Entrance,COUPE,0,1st Street E
1124,47.5400,NorthBound0Entrance,COUPE,1,1st Avenue N
1061,24.2400,NorthBound0Entrance,SUV,2,1st Avenue N
1064,24.7400,NorthBound0Entrance,COUPE,1,1st Avenue N
1128,48.7800,NorthBound0Entrance,COUPE,0,1st Avenue N
1067,25.8200,NorthBound0Entrance,SEDAN,0,1st Street W
1004,2.6000,NorthBound0Entrance,COUPE,1,1st Street E
1068,26.1200,NorthBound0Entrance,COUPE,2,1st Avenue N
1071,27.3800,NorthBound0Entrance,COUPE,0,1st Avenue N
1072,27.7200,NorthBound0Entrance,SEDAN,1,1st Avenue N
1136,50.5200,NorthBound0Entrance,SUV,2,1st Street E
1015,7.0000,NorthBound0Entrance,SEDAN,1,1st Street E
1079,31.0400,NorthBound0Entrance,SEDAN,1,1st Street E
