VIN,Time,DCLname,vType,startLaneId,destRoad
1152,55.9000,NorthBound0Entrance,SEDAN,0,1st Avenue N
1025,10.2000,NorthBound0Entrance,SUV,0,1st Street E
1028,10.9800,NorthBound0Entrance,SUV,2,1st Street E
1159,58.1000,NorthBound0Entrance,COUPE,0,1st Street W
1034,12.6600,NorthBound0Entrance,COUPE,2,1st Avenue N
1037,13.7600,NorthBound0Entrance,VAN,0,1st Street W
1041,15.1200,NorthBound0Entrance,SEDAN,0,1st Street W
1042,15.1200,NorthBound0Entrance,SUV,2,1st Street W
1171,61.9000,NorthBound0Entrance,SUV,1,1st Street W
1175,63.5600,NorthBound0Entrance,VAN,0,1st Street E
1048,16.5200,NorthBound0Entrance,VAN,1,1st Avenue N
1177,63.8000,NorthBound0Entrance,VAN,2,1st Avenue N
1178,64.0600,NorthBound0Entrance,SUV,1,1st Avenue N
1183,65.4600,NorthBound0Entrance,SEDAN,2,1st Street E
1185,65.8600,NorthBound0Entrance,COUPE,0,1st Avenue N
1187,67.0600,NorthBound0Entrance,COUPE,1,1st Street E
1060,24.8600,NorthBound0Entrance,SEDAN,1,1st Street W
1189,67.9000,NorthBound0Entrance,VAN,2,1st Street W
1191,68.9800,NorthBound0Entrance,VAN,1,1st Street W
1193,69.4000,NorthBound0Entrance,COUPE,2,1st Avenue N
1067,26.6600,NorthBound0Entrance,SUV,2,1st Street W
1068,26.9600,NorthBound0Entrance,SEDAN,1,1st Street E
1197,70.1400,NorthBound0Entrance,SEDAN,0,1st Avenue N
1076,29.9000,NorthBound0Entrance,VAN,0,1st Street W
1204,72.2400,NorthBound0Entrance,VAN,1,1st Avenue N
1205,72.6600,NorthBound0Entrance,VAN,0,1st Street E
1207,74.4200,NorthBound0Entrance,VAN,0,1st Street E
1081,31.5200,NorthBound0Entrance,SEDAN,0,1st Street W
1215,79.0800,NorthBound0Entrance,SEDAN,1,1st Avenue N
1220,80.4000,NorthBound0Entrance,VAN,2,1st Avenue N
1094,36.4200,NorthBound0Entrance,SEDAN,2,1st Street E
1101,39.1000,NorthBound0Entrance,SUV,1,1st Avenue N
1229,84.8400,NorthBound0Entrance,SUV,0,1st Street E
1102,39.4200,NorthBound0Entrance,COUPE,0,1st Avenue N
1235,88.3400,NorthBound0Entrance,VAN,0,1st Street W
1237,90.5600,NorthBound0Entrance,VAN,2,1st Street W
1110,41.6400,NorthBound0Entrance,SEDAN,1,1st Street E
1239,90.8800,NorthBound0Entrance,VAN,1,1st Avenue N
1112,42.6600,NorthBound0Entrance,COUPE,2,1st Street E
1121,46.0400,NorthBound0Entrance,VAN,2,1st Street E
1252,97.5400,NorthBound0Entrance,SEDAN,1,1st Street W
1125,46.5400,NorthBound0Entrance,COUPE,1,1st Street E
1126,46.8800,NorthBound0Entrance,SEDAN,0,1st Avenue N
1255,97.7800,NorthBound0Entrance,VAN,0,1st Street E
1128,47.4400,NorthBound0Entrance,SEDAN,2,1st Street E
1001,1.9600,NorthBound0Entrance,SEDAN,2,1st Street E
1129,48.2400,NorthBound0Entrance,SUV,0,1st Avenue N
1002,2.0600,NorthBound0Entrance,SUV,0,1st Street W
1133,49.8800,NorthBound0Entrance,SEDAN,2,1st Street W
1010,4.5400,NorthBound0Entrance,COUPE,1,1st Avenue N
1139,51.8800,NorthBound0Entrance,SEDAN,2,1st Avenue N
1012,5.8200,NorthBound0Entrance,COUPE,2,1st Avenue N
1141,52.6800,NorthBound0Entrance,VAN,1,1st Avenue N
1016,6.5400,NorthBound0Entrance,SEDAN,0,1st Street E
1145,54.4600,NorthBound0Entrance,VAN,0,1st Avenue N
1148,55.0600,NorthBound0Entrance,SUV,1,1st Avenue N
1023,9.5200,NorthBound0Entrance,VAN,2,1st Street W
1024,22.3400,NorthBound0Exit,SEDAN,8,1st Avenue N
1152,73.4600,NorthBound0Exit,SEDAN,0,1st Avenue N
1153,77.6800,NorthBound0Exit,SEDAN,10,1st Avenue N
1026,27.9400,NorthBound0Exit,COUPE,9,1st Avenue N
1154,85.0000,NorthBound0Exit,SEDAN,7,1st Avenue N
1157,69.4400,NorthBound0Exit,SEDAN,8,1st Avenue N
1033,24.8800,NorthBound0Exit,COUPE,8,1st Avenue N
1161,93.6200,NorthBound0Exit,SUV,9,1st Avenue N
1034,29.3800,NorthBound0Exit,COUPE,2,1st Avenue N
1038,26.0800,NorthBound0Exit,VAN,8,1st Avenue N
1167,78.3600,NorthBound0Exit,SUV,8,1st Avenue N
1043,32.3600,NorthBound0Exit,SUV,10,1st Avenue N
1173,82.1800,NorthBound0Exit,SEDAN,8,1st Avenue N
1048,29.6000,NorthBound0Exit,VAN,1,1st Avenue N
1177,82.5200,NorthBound0Exit,VAN,2,1st Avenue N
1178,80.5200,NorthBound0Exit,SUV,1,1st Avenue N
1055,40.1200,NorthBound0Exit,VAN,10,1st Avenue N
1186,89.6200,NorthBound0Exit,SEDAN,8,1st Avenue N
1059,35.9600,NorthBound0Exit,COUPE,9,1st Avenue N
1062,46.1400,NorthBound0Exit,VAN,10,1st Avenue N
1064,46.3800,NorthBound0Exit,SEDAN,6,1st Avenue N
1193,95.2200,NorthBound0Exit,COUPE,2,1st Avenue N
1195,81.9000,NorthBound0Exit,COUPE,10,1st Avenue N
1070,44.2400,NorthBound0Exit,SEDAN,11,1st Avenue N
1204,93.2800,NorthBound0Exit,VAN,1,1st Avenue N
1080,53.3800,NorthBound0Exit,SUV,7,1st Avenue N
1208,87.4600,NorthBound0Exit,COUPE,11,1st Avenue N
1210,90.4800,NorthBound0Exit,VAN,10,1st Avenue N
1084,52.0000,NorthBound0Exit,SEDAN,10,1st Avenue N
