VIN,Time,DCLname,vType,startLaneId,destRoad
1152,57.8200,NorthBound0Entrance,COUPE,1,1st Avenue N
1156,59.8600,NorthBound0Entrance,SEDAN,0,1st Street E
1158,60.4400,NorthBound0Entrance,SUV,1,1st Street W
1159,62.8200,NorthBound0Entrance,SEDAN,0,1st Avenue N
1033,13.7000,NorthBound0Entrance,SEDAN,2,1st Street E
1161,64.0800,NorthBound0Entrance,COUPE,2,1st Street W
1162,64.1800,NorthBound0Entrance,SUV,1,1st Avenue N
1044,16.7800,NorthBound0Entrance,SUV,1,1st Avenue N
1172,69.7800,NorthBound0Entrance,VAN,1,1st Street E
1173,70.3000,NorthBound0Entrance,COUPE,2,1st Avenue N
1175,71.1600,NorthBound0Entrance,VAN,1,1st Street E
1048,17.8800,NorthBound0Entrance,COUPE,0,1st Street E
1050,18.1200,NorthBound0Entrance,VAN,1,1st Avenue N
1178,71.6600,NorthBound0Entrance,SUV,2,1st Street E
1183,74.2400,NorthBound0Entrance,SUV,0,1st Avenue N
1056,20.4000,NorthBound0Entrance,COUPE,2,1st Street E
1058,21.0600,NorthBound0Entrance,VAN,0,1st Street E
1186,75.7600,NorthBound0Entrance,SUV,0,1st Avenue N
1065,24.3800,NorthBound0Entrance,COUPE,1,1st Street E
1069,25.5000,NorthBound0Entrance,SEDAN,0,1st Street E
1197,80.2000,NorthBound0Entrance,SEDAN,2,1st Street E
1070,25.7400,NorthBound0Entrance,SEDAN,1,1st Avenue N
1199,80.7200,NorthBound0Entrance,VAN,1,1st Street E
1072,27.5800,NorthBound0Entrance,SEDAN,1,1st Street E
1200,81.5200,NorthBound0Entrance,SUV,0,1st Street E
1201,82.2600,NorthBound0Entrance,COUPE,2,1st Avenue N
1078,30.5200,NorthBound0Entrance,SEDAN,2,1st Street E
1208,86.6600,NorthBound0Entrance,SUV,0,1st Street W
1211,88.3600,NorthBound0Entrance,SEDAN,0,1st Avenue N
1085,33.2400,NorthBound0Entrance,COUPE,1,1st Street W
1086,33.3000,NorthBound0Entrance,SUV,2,1st Street E
1217,90.5600,NorthBound0Entrance,SUV,2,1st Avenue N
1218,90.6000,NorthBound0Entrance,SUV,0,1st Street W
1093,36.2800,NorthBound0Entrance,COUPE,0,1st Avenue N
1094,36.3800,NorthBound0Entrance,COUPE,1,1st Street W
1222,92.3400,NorthBound0Entrance,COUPE,2,1st Street E
1228,95.2600,NorthBound0Entrance,VAN,0,1st Avenue N
1101,39.2000,NorthBound0Entrance,COUPE,2,1st Street W
1108,41.7800,NorthBound0Entrance,SEDAN,0,1st Avenue N
1111,43.0600,NorthBound0Entrance,VAN,1,1st Avenue N
1118,44.8800,NorthBound0Entrance,COUPE,0,1st Avenue N
1124,47.4800,NorthBound0Entrance,SUV,2,1st Street E
1125,47.7200,NorthBound0Entrance,SEDAN,1,1st Street W
1000,1.1600,NorthBound0Entrance,COUPE,1,1st Avenue N
1128,49.3000,NorthBound0Entrance,SEDAN,0,1st Street E
1129,49.8600,NorthBound0Entrance,VAN,1,1st Street E
1003,1.7600,NorthBound0Entrance,SEDAN,0,1st Street W
1132,50.4200,NorthBound0Entrance,VAN,2,1st Street E
1008,3.6800,NorthBound0Entrance,SEDAN,1,1st Avenue N
1138,53.2800,NorthBound0Entrance,SEDAN,2,1st Street W
1011,5.0400,NorthBound0Entrance,COUPE,1,1st Street E
1139,53.6800,NorthBound0Entrance,VAN,1,1st Avenue N
1012,5.8200,NorthBound0Entrance,VAN,0,1st Street E
1143,54.6200,NorthBound0Entrance,VAN,0,1st Street W
1017,8.2200,NorthBound0Entrance,VAN,0,1st Street W
1019,8.2600,NorthBound0Entrance,SEDAN,1,1st Avenue N
1148,56.6800,NorthBound0Entrance,SEDAN,0,1st Street E
1150,57.1400,NorthBound0Entrance,SUV,2,1st Street W
1023,9.6400,NorthBound0Entrance,SEDAN,2,1st Street E
1027,24.7600,NorthBound0Exit,SUV,11,1st Avenue N
1159,73.5800,NorthBound0Exit,SEDAN,0,1st Avenue N
1032,25.4000,NorthBound0Exit,SUV,7,1st Avenue N
1034,28.1600,NorthBound0Exit,VAN,9,1st Avenue N
1037,27.4600,NorthBound0Exit,SUV,10,1st Avenue N
1038,43.9400,NorthBound0Exit,COUPE,6,1st Avenue N
1166,78.3200,NorthBound0Exit,VAN,9,1st Avenue N
1040,26.5200,NorthBound0Exit,SUV,8,1st Avenue N
1169,80.5400,NorthBound0Exit,COUPE,11,1st Avenue N
1042,30.6000,NorthBound0Exit,COUPE,10,1st Avenue N
1171,81.8400,NorthBound0Exit,COUPE,11,1st Avenue N
1044,27.5400,NorthBound0Exit,SUV,1,1st Avenue N
1173,90.6800,NorthBound0Exit,COUPE,2,1st Avenue N
1049,34.0800,NorthBound0Exit,VAN,10,1st Avenue N
1050,33.8200,NorthBound0Exit,VAN,1,1st Avenue N
1055,36.1800,NorthBound0Exit,SEDAN,8,1st Avenue N
1183,85.0000,NorthBound0Exit,SUV,0,1st Avenue N
1186,90.4800,NorthBound0Exit,SUV,0,1st Avenue N
1060,39.2800,NorthBound0Exit,SUV,7,1st Avenue N
1188,90.1600,NorthBound0Exit,VAN,10,1st Avenue N
1061,35.9200,NorthBound0Exit,SEDAN,10,1st Avenue N
1062,41.9400,NorthBound0Exit,VAN,7,1st Avenue N
1191,88.9200,NorthBound0Exit,SEDAN,8,1st Avenue N
1194,97.7200,NorthBound0Exit,SUV,8,1st Avenue N
1067,37.8200,NorthBound0Exit,SUV,11,1st Avenue N
1070,42.5200,NorthBound0Exit,SEDAN,1,1st Avenue N
1201,97.4200,NorthBound0Exit,COUPE,2,1st Avenue N
1075,54.7000,NorthBound0Exit,VAN,6,1st Avenue N
1077,47.5600,NorthBound0Exit,COUPE,10,1st Avenue N
1082,50.4200,NorthBound0Exit,SUV,10,1st Avenue N
1089,55.2200,NorthBound0Exit,COUPE,8,1st Avenue N
1091,50.9600,NorthBound0Exit,COUPE,9,1st Avenue N
1093,47.0400,NorthBound0Exit,COUPE,0,1st Avenue N
1095,52.6400,NorthBound0Exit,COUPE,9,1st Avenue N
1097,50.1400,NorthBound0Exit,SEDAN,7,1st Avenue N
1100,63.4600,NorthBound0Exit,SEDAN,8,1st Avenue N
1107,70.1400,NorthBound0Exit,VAN,11,1st Avenue N
1108,52.5400,NorthBound0Exit,SEDAN,0,1st Avenue N
1111,96.8400,NorthBound0Exit,VAN,1,1st Avenue N
1115,64.5200,NorthBound0Exit,VAN,7,1st Avenue N
1118,55.6800,NorthBound0Exit,COUPE,0,1st Avenue N
1119,63.8400,NorthBound0Exit,VAN,10,1st Avenue N
1000,11.9200,NorthBound0Exit,COUPE,1,1st Avenue N
1005,21.3800,NorthBound0Exit,SEDAN,8,1st Avenue N
1007,16.3200,NorthBound0Exit,VAN,11,1st Avenue N
1008,14.4400,NorthBound0Exit,SEDAN,1,1st Avenue N
1137,69.6800,NorthBound0Exit,VAN,8,1st Avenue N
1140,65.0400,NorthBound0Exit,COUPE,9,1st Avenue N
1013,24.1400,NorthBound0Exit,SEDAN,8,1st Avenue N
1016,23.4200,NorthBound0Exit,VAN,7,1st Avenue N
1145,71.4600,NorthBound0Exit,SEDAN,8,1st Avenue N
1146,79.3800,NorthBound0Exit,COUPE,6,1st Avenue N
1019,25.8600,NorthBound0Exit,SEDAN,1,1st Avenue N
1021,22.6200,NorthBound0Exit,SEDAN,10,1st Avenue N
1149,74.9800,NorthBound0Exit,SEDAN,11,1st Avenue N
1024,9.8200,SouthBound0Entrance,SEDAN,5,1st Avenue S
1025,11.4000,SouthBound0Entrance,COUPE,4,1st Street E
1154,58.0200,SouthBound0Entrance,COUPE,5,1st Avenue S
1155,59.7000,SouthBound0Entrance,SUV,4,1st Avenue S
1030,12.5600,SouthBound0Entrance,VAN,3,1st Street W
1031,12.6400,SouthBound0Entrance,VAN,5,1st Street E
1160,63.7400,SouthBound0Entrance,SEDAN,4,1st Street W
1163,64.4600,SouthBound0Entrance,VAN,3,1st Street W
1036,13.9800,SouthBound0Entrance,SUV,5,1st Street E
1168,66.9000,SouthBound0Entrance,SUV,4,1st Street E
1041,15.4200,SouthBound0Entrance,SEDAN,3,1st Avenue S
1170,68.7800,SouthBound0Entrance,SEDAN,5,1st Street E
1046,17.5200,SouthBound0Entrance,SEDAN,5,1st Street E
1047,17.7400,SouthBound0Entrance,VAN,4,1st Street E
1051,18.4600,SouthBound0Entrance,SEDAN,3,1st Street W
1180,72.8000,SouthBound0Entrance,SUV,4,1st Street E
1053,19.1200,SouthBound0Entrance,SEDAN,4,1st Avenue S
1181,73.4400,SouthBound0Entrance,VAN,5,1st Avenue S
1054,19.1200,SouthBound0Entrance,VAN,5,1st Street W
1184,74.3600,SouthBound0Entrance,VAN,3,1st Street E
1190,76.8600,SouthBound0Entrance,VAN,5,1st Street W
1063,23.3600,SouthBound0Entrance,SUV,5,1st Street W
1193,78.5800,SouthBound0Entrance,VAN,5,1st Avenue S
1066,24.4000,SouthBound0Entrance,VAN,4,1st Avenue S
1071,26.6400,SouthBound0Entrance,COUPE,3,1st Street E
1204,83.5000,SouthBound0Entrance,COUPE,5,1st Avenue S
1079,30.9800,SouthBound0Entrance,COUPE,5,1st Street E
1209,86.8000,SouthBound0Entrance,SEDAN,5,1st Avenue S
1083,31.9000,SouthBound0Entrance,COUPE,4,1st Street E
1214,89.5000,SouthBound0Entrance,SUV,4,1st Street W
1087,34.0200,SouthBound0Entrance,SUV,5,1st Avenue S
1088,34.2000,SouthBound0Entrance,VAN,4,1st Street W
1216,90.2600,SouthBound0Entrance,SUV,5,1st Street W
1221,91.8000,SouthBound0Entrance,VAN,5,1st Street W
1096,36.9000,SouthBound0Entrance,SEDAN,3,1st Street W
1224,92.9200,SouthBound0Entrance,COUPE,3,1st Street W
1227,94.8400,SouthBound0Entrance,SUV,3,1st Street W
1229,95.7000,SouthBound0Entrance,SEDAN,4,1st Street E
1103,40.0000,SouthBound0Entrance,COUPE,3,1st Street W
1232,98.3600,SouthBound0Entrance,SEDAN,5,1st Street W
1106,40.6600,SouthBound0Entrance,VAN,5,1st Street E
1236,99.2800,SouthBound0Entrance,SUV,3,1st Street W
1237,100.0200,SouthBound0Entrance,SEDAN,5,1st Street W
1110,42.8000,SouthBound0Entrance,SUV,5,1st Avenue S
1116,44.1600,SouthBound0Entrance,SEDAN,4,1st Avenue S
1122,47.0800,SouthBound0Entrance,VAN,5,1st Street W
1123,47.2400,SouthBound0Entrance,VAN,3,1st Avenue S
1127,48.9600,SouthBound0Entrance,SEDAN,4,1st Avenue S
1130,50.1000,SouthBound0Entrance,COUPE,3,1st Street W
1131,50.3800,SouthBound0Entrance,COUPE,5,1st Avenue S
1004,1.9000,SouthBound0Entrance,SEDAN,5,1st Street E
1006,2.8600,SouthBound0Entrance,VAN,4,1st Street W
1135,51.7800,SouthBound0Entrance,SUV,5,1st Avenue S
1141,54.0600,SouthBound0Entrance,VAN,4,1st Street W
1144,55.0200,SouthBound0Entrance,SUV,5,1st Avenue S
1018,8.2400,SouthBound0Entrance,SUV,4,1st Street E
1147,56.5200,SouthBound0Entrance,COUPE,4,1st Street W
1020,8.3800,SouthBound0Entrance,VAN,5,1st Street W
1024,23.1400,SouthBound0Exit,SEDAN,5,1st Avenue S
1153,76.5600,SouthBound0Exit,SEDAN,10,1st Avenue S
1090,59.8000,SouthBound0Exit,SEDAN,10,1st Avenue S
1154,75.6200,SouthBound0Exit,COUPE,5,1st Avenue S
1155,73.8400,SouthBound0Exit,SUV,4,1st Avenue S
