VIN,Time,DCLname,vType,startLaneId,destRoad
1024,9.1000,NorthBound0Entrance,SUV,0,1st Avenue N
1153,55.2600,NorthBound0Entrance,SEDAN,2,1st Street E
1026,9.9400,NorthBound0Entrance,SUV,2,1st Street E
1029,10.7000,NorthBound0Entrance,SEDAN,0,1st Street W
1030,10.9200,NorthBound0Entrance,COUPE,1,1st Avenue N
1161,58.7000,NorthBound0Entrance,COUPE,0,1st Avenue N
1163,59.4400,NorthBound0Entrance,COUPE,1,1st Street E
1167,61.1000,NorthBound0Entrance,VAN,2,1st Street E
1041,14.8000,NorthBound0Entrance,VAN,1,1st Street E
1171,62.7600,NorthBound0Entrance,SUV,0,1st Street E
1173,64.0200,NorthBound0Entrance,SUV,2,1st Street W
1175,64.4600,NorthBound0Entrance,SUV,0,1st Street W
1050,17.5600,NorthBound0Entrance,VAN,2,1st Street E
1051,17.8800,NorthBound0Entrance,SUV,0,1st Street E
1052,18.8800,NorthBound0Entrance,SUV,1,1st Avenue N
1180,66.0000,NorthBound0Entrance,VAN,0,1st Street E
1053,19.2600,NorthBound0Entrance,SUV,2,1st Avenue N
1181,66.4800,NorthBound0Entrance,VAN,2,1st Street E
1185,67.4600,NorthBound0Entrance,COUPE,1,1st Street E
1186,67.7600,NorthBound0Entrance,VAN,0,1st Avenue N
1061,23.2600,NorthBound0Entrance,SEDAN,2,1st Street E
1193,71.1600,NorthBound0Entrance,COUPE,2,1st Street E
1067,25.6800,NorthBound0Entrance,COUPE,1,1st Street E
1069,26.1400,NorthBound0Entrance,SUV,0,1st Street E
1072,28.6600,NorthBound0Entrance,SUV,0,1st Street W
1203,76.9800,NorthBound0Entrance,SUV,1,1st Street W
1079,30.9600,NorthBound0Entrance,SUV,0,1st Avenue N
1082,32.2800,NorthBound0Entrance,VAN,1,1st Street E
1210,79.7000,NorthBound0Entrance,SEDAN,0,1st Avenue N
1213,81.2600,NorthBound0Entrance,SEDAN,1,1st Street W
1215,81.9400,NorthBound0Entrance,VAN,0,1st Avenue N
1218,83.1400,NorthBound0Entrance,SEDAN,2,1st Street E
1091,36.1600,NorthBound0Entrance,COUPE,2,1st Street W
1094,38.0000,NorthBound0Entrance,VAN,0,1st Street W
1100,39.4600,NorthBound0Entrance,SEDAN,1,1st Street W
1231,87.1400,NorthBound0Entrance,SUV,2,1st Street E
1106,40.6200,NorthBound0Entrance,SEDAN,2,1st Street W
1236,89.7400,NorthBound0Entrance,SEDAN,2,1st Street W
1237,90.3600,NorthBound0Entrance,COUPE,1,1st Avenue N
1112,42.6200,NorthBound0Entrance,COUPE,2,1st Street W
1242,91.7000,NorthBound0Entrance,SUV,1,1st Street E
1115,42.8000,NorthBound0Entrance,SUV,1,1st Street W
1119,44.5400,NorthBound0Entrance,SUV,2,1st Avenue N
1247,93.2600,NorthBound0Entrance,COUPE,0,1st Avenue N
1248,93.4400,NorthBound0Entrance,COUPE,2,1st Street E
1122,45.4400,NorthBound0Entrance,COUPE,1,1st Street E
1253,94.8400,NorthBound0Entrance,SUV,1,1st Street W
1255,95.9200,NorthBound0Entrance,COUPE,0,1st Street W
1128,47.0000,NorthBound0Entrance,COUPE,2,1st Street E
1259,96.6400,NorthBound0Entrance,COUPE,2,1st Avenue N
1261,97.2000,NorthBound0Entrance,VAN,1,1st Avenue N
1006,3.4400,NorthBound0Entrance,SEDAN,1,1st Street E
1134,48.3800,NorthBound0Entrance,SEDAN,1,1st Street E
1135,49.1000,NorthBound0Entrance,SUV,2,1st Avenue N
1008,4.5400,NorthBound0Entrance,VAN,0,1st Avenue N
1136,49.2400,NorthBound0Entrance,COUPE,0,1st Street E
1010,4.8000,NorthBound0Entrance,SEDAN,1,1st Street E
1140,50.5400,NorthBound0Entrance,VAN,2,1st Street W
1016,6.8800,NorthBound0Entrance,SUV,2,1st Street W
1017,7.0400,NorthBound0Entrance,SEDAN,0,1st Street W
1145,52.4200,NorthBound0Entrance,VAN,2,1st Street E
1022,8.2800,NorthBound0Entrance,SUV,1,1st Avenue N
1150,53.9200,NorthBound0Entrance,COUPE,1,1st Avenue N
1024,39.7400,NorthBound0Exit,SUV,0,1st Avenue N
1152,81.8400,NorthBound0Exit,COUPE,8,1st Avenue N
1154,86.0600,NorthBound0Exit,SUV,7,1st Avenue N
1028,24.2000,NorthBound0Exit,SUV,9,1st Avenue N
1030,26.0200,NorthBound0Exit,COUPE,1,1st Avenue N
1161,91.7200,NorthBound0Exit,COUPE,0,1st Avenue N
1162,86.7600,NorthBound0Exit,COUPE,11,1st Avenue N
1037,39.1000,NorthBound0Exit,SEDAN,10,1st Avenue N
1101,55.9400,NorthBound0Exit,SEDAN,8,1st Avenue N
1102,57.5400,NorthBound0Exit,SEDAN,6,1st Avenue N
1039,30.1000,NorthBound0Exit,SEDAN,6,1st Avenue N
1040,48.2400,NorthBound0Exit,SEDAN,11,1st Avenue N
1104,51.7400,NorthBound0Exit,SUV,9,1st Avenue N
1168,87.3600,NorthBound0Exit,SEDAN,8,1st Avenue N
1107,69.4400,NorthBound0Exit,VAN,10,1st Avenue N
1172,96.3000,NorthBound0Exit,COUPE,8,1st Avenue N
1045,32.3800,NorthBound0Exit,COUPE,6,1st Avenue N
1110,74.3000,NorthBound0Exit,SUV,6,1st Avenue N
1179,77.2000,NorthBound0Exit,VAN,9,1st Avenue N
1052,29.6400,NorthBound0Exit,SUV,1,1st Avenue N
1053,35.8000,NorthBound0Exit,SUV,2,1st Avenue N
1182,89.6200,NorthBound0Exit,VAN,11,1st Avenue N
1055,38.8400,NorthBound0Exit,SUV,8,1st Avenue N
1119,65.9400,NorthBound0Exit,SUV,2,1st Avenue N
1057,31.7000,NorthBound0Exit,SEDAN,9,1st Avenue N
1121,74.6200,NorthBound0Exit,VAN,10,1st Avenue N
1124,58.0800,NorthBound0Exit,SEDAN,8,1st Avenue N
1064,48.7400,NorthBound0Exit,COUPE,10,1st Avenue N
1192,82.5800,NorthBound0Exit,VAN,9,1st Avenue N
1129,83.8400,NorthBound0Exit,SEDAN,6,1st Avenue N
1194,90.5400,NorthBound0Exit,COUPE,11,1st Avenue N
1131,68.0400,NorthBound0Exit,SEDAN,7,1st Avenue N
1197,84.5800,NorthBound0Exit,SEDAN,9,1st Avenue N
1135,71.1000,NorthBound0Exit,SUV,2,1st Avenue N
1199,97.3600,NorthBound0Exit,COUPE,7,1st Avenue N
1008,15.3000,NorthBound0Exit,VAN,0,1st Avenue N
1073,44.0000,NorthBound0Exit,SEDAN,7,1st Avenue N
1137,61.6000,NorthBound0Exit,SUV,9,1st Avenue N
1201,92.6000,NorthBound0Exit,SUV,11,1st Avenue N
1011,17.9400,NorthBound0Exit,SEDAN,7,1st Avenue N
1075,40.3400,NorthBound0Exit,COUPE,9,1st Avenue N
1142,79.4400,NorthBound0Exit,COUPE,10,1st Avenue N
1079,78.6200,NorthBound0Exit,SUV,0,1st Avenue N
1143,80.7000,NorthBound0Exit,SUV,7,1st Avenue N
1147,64.4400,NorthBound0Exit,VAN,8,1st Avenue N
1022,24.6400,NorthBound0Exit,SUV,1,1st Avenue N
1150,64.6800,NorthBound0Exit,COUPE,1,1st Avenue N
1027,10.1000,SouthBound0Entrance,SUV,3,1st Street E
1158,57.6800,SouthBound0Entrance,COUPE,5,1st Street W
1031,10.9600,SouthBound0Entrance,SEDAN,5,1st Avenue S
1032,11.2800,SouthBound0Entrance,SEDAN,4,1st Street E
1164,60.5200,SouthBound0Entrance,SEDAN,4,1st Avenue S
1038,12.5000,SouthBound0Entrance,VAN,5,1st Avenue S
1166,60.8600,SouthBound0Entrance,SEDAN,3,1st Street W
1169,61.4600,SouthBound0Entrance,COUPE,5,1st Street W
1170,62.6400,SouthBound0Entrance,VAN,4,1st Street E
1046,16.3200,SouthBound0Entrance,SEDAN,4,1st Street E
1176,65.0200,SouthBound0Entrance,SUV,5,1st Street E
1054,19.5000,SouthBound0Entrance,SUV,4,1st Street E
1183,66.9400,SouthBound0Entrance,COUPE,4,1st Street W
1058,20.8400,SouthBound0Entrance,SEDAN,3,1st Street W
1187,67.9600,SouthBound0Entrance,SUV,5,1st Street E
1062,23.7400,SouthBound0Entrance,VAN,5,1st Avenue S
1190,69.7200,SouthBound0Entrance,VAN,3,1st Street E
1063,24.5400,SouthBound0Entrance,SUV,4,1st Street E
1191,70.8000,SouthBound0Entrance,COUPE,4,1st Street E
1065,25.3800,SouthBound0Entrance,SUV,5,1st Street W
1066,25.5200,SouthBound0Entrance,COUPE,3,1st Street E
1196,72.6200,SouthBound0Entrance,VAN,4,1st Street E
1070,26.6200,SouthBound0Entrance,SEDAN,4,1st Avenue S
1071,27.4800,SouthBound0Entrance,COUPE,3,1st Street E
1200,74.2200,SouthBound0Entrance,SEDAN,4,1st Street E
1077,30.0400,SouthBound0Entrance,VAN,5,1st Street E
1206,77.9400,SouthBound0Entrance,VAN,5,1st Street W
1080,31.3000,SouthBound0Entrance,SUV,4,1st Street W
1208,78.9200,SouthBound0Entrance,SUV,4,1st Avenue S
1083,32.6000,SouthBound0Entrance,VAN,5,1st Street E
1212,81.1200,SouthBound0Entrance,VAN,5,1st Street W
1085,33.5200,SouthBound0Entrance,SEDAN,3,1st Street E
1088,35.0800,SouthBound0Entrance,SEDAN,5,1st Street W
1089,35.3600,SouthBound0Entrance,VAN,3,1st Street E
1217,82.3200,SouthBound0Entrance,SUV,4,1st Street E
1219,83.5600,SouthBound0Entrance,COUPE,3,1st Street W
1221,84.3600,SouthBound0Entrance,COUPE,5,1st Street W
1095,38.6400,SouthBound0Entrance,COUPE,4,1st Street W
1224,84.4600,SouthBound0Entrance,VAN,4,1st Street W
1098,38.7400,SouthBound0Entrance,COUPE,5,1st Street W
1099,38.8800,SouthBound0Entrance,SEDAN,3,1st Street W
1228,86.4600,SouthBound0Entrance,SEDAN,3,1st Avenue S
1103,40.0400,SouthBound0Entrance,VAN,4,1st Street E
1235,89.5800,SouthBound0Entrance,VAN,3,1st Street E
1111,42.5200,SouthBound0Entrance,VAN,5,1st Street E
1113,42.7000,SouthBound0Entrance,SUV,3,1st Avenue S
1243,92.0400,SouthBound0Entrance,COUPE,5,1st Avenue S
1118,44.2800,SouthBound0Entrance,SUV,3,1st Avenue S
1250,94.0600,SouthBound0Entrance,SUV,4,1st Street W
1123,45.5200,SouthBound0Entrance,SEDAN,4,1st Avenue S
1126,46.7200,SouthBound0Entrance,SUV,3,1st Street W
1254,95.7400,SouthBound0Entrance,SUV,3,1st Street W
1127,46.9200,SouthBound0Entrance,VAN,5,1st Street E
1001,1.7400,SouthBound0Entrance,SUV,5,1st Street E
1004,2.6600,SouthBound0Entrance,VAN,4,1st Street W
1132,48.2200,SouthBound0Entrance,COUPE,4,1st Street E
1264,98.4600,SouthBound0Entrance,SEDAN,5,1st Avenue S
1266,99.0600,SouthBound0Entrance,SUV,3,1st Street W
1139,50.3200,SouthBound0Entrance,VAN,4,1st Street W
1012,5.9800,SouthBound0Entrance,SUV,5,1st Street W
1144,51.6600,SouthBound0Entrance,VAN,3,1st Street W
1018,7.2400,SouthBound0Entrance,SEDAN,3,1st Avenue S
1146,52.6400,SouthBound0Entrance,VAN,4,1st Street W
1020,8.0200,SouthBound0Entrance,COUPE,5,1st Street W
1148,53.1400,SouthBound0Entrance,SUV,3,1st Street W
1025,35.6600,SouthBound0Exit,VAN,10,1st Avenue S
1090,50.0000,SouthBound0Exit,VAN,7,1st Avenue S
1155,91.5400,SouthBound0Exit,COUPE,6,1st Avenue S
1220,99.7600,SouthBound0Exit,SUV,11,1st Avenue S
1031,21.7200,SouthBound0Exit,SEDAN,5,1st Avenue S
1096,50.7400,SouthBound0Exit,COUPE,7,1st Avenue S
1033,25.7200,SouthBound0Exit,VAN,7,1st Avenue S
1097,65.3000,SouthBound0Exit,COUPE,10,1st Avenue S
1034,26.2800,SouthBound0Exit,SEDAN,6,1st Avenue S
1227,98.6600,SouthBound0Exit,VAN,9,1st Avenue S
1036,46.1400,SouthBound0Exit,COUPE,11,1st Avenue S
1164,92.1200,SouthBound0Exit,SEDAN,4,1st Avenue S
1038,26.9200,SouthBound0Exit,VAN,5,1st Avenue S
1105,62.0800,SouthBound0Exit,SUV,11,1st Avenue S
1043,45.3800,SouthBound0Exit,SEDAN,10,1st Avenue S
1044,28.5600,SouthBound0Exit,SUV,9,1st Avenue S
1109,71.5200,SouthBound0Exit,VAN,11,1st Avenue S
